date,code,weight
2020-03-19,6273,1.0
2020-03-23,6273,1.0
2020-03-24,6273,1.0
2020-03-25,6273,1.0
2020-03-26,7269,1.0
2020-03-27,7269,1.0
2020-03-30,7269,1.0
2020-03-31,7269,1.0
2020-04-01,7269,0.4431334217691824
2020-04-01,7270,0.5568665782308175
2020-04-02,6501,0.51563746055962
2020-04-02,7269,0.21580389029506605
2020-04-02,7270,0.26855864914531397
2020-04-03,6501,0.5141327199870622
2020-04-03,7269,0.2275610501159009
2020-04-03,7270,0.2583062298970369
2020-04-06,6501,0.5272646256103675
2020-04-06,7269,0.2278271847904792
2020-04-06,7270,0.24490818959915336
2020-04-07,6501,0.5267676229071131
2020-04-07,7269,0.2267427393267214
2020-04-07,7270,0.24648963776616545
2020-04-08,7269,0.4842380219701578
2020-04-08,7270,0.5157619780298422
2020-04-09,7269,0.4836097184728114
2020-04-09,7270,0.5163902815271886
2020-04-10,7270,1.0
2020-04-13,7270,1.0
2020-04-14,7270,1.0
2020-04-15,1450,0.0302636686673236
2020-04-15,1879,0.23391760478565102
2020-04-15,6345,0.2566265539928534
2020-04-15,6420,0.3420824748424856
2020-04-15,9739,0.13710969771168643
2020-04-16,1450,0.03069851348665603
2020-04-16,1879,0.23514633263857393
2020-04-16,6345,0.2546794339324572
2020-04-16,6420,0.3384735337433943
2020-04-16,9739,0.14100218619891863
2020-04-17,7270,1.0
2020-04-20,1450,0.030297667330334538
2020-04-20,1879,0.23045989725438143
2020-04-20,6345,0.2573998967627756
2020-04-20,6420,0.34333259592458765
2020-04-20,9739,0.13850994272792075
2020-04-21,1450,0.029656460190833723
2020-04-21,1879,0.22705498201157517
2020-04-21,6345,0.25671633036133273
2020-04-21,6420,0.3446200922884405
2020-04-21,9739,0.14195213514781793
2020-04-22,1450,0.029387674054952965
2020-04-22,1879,0.22388244930378018
2020-04-22,6345,0.2567648737868897
2020-04-22,6420,0.34943036560847873
2020-04-22,9739,0.14053463724589838
2020-04-23,6501,0.6485997354927029
2020-04-23,7270,0.35140026450729717
2020-04-24,6501,1.0
2020-04-27,6501,1.0
2020-04-28,6501,1.0
2020-04-30,6501,1.0
2020-05-01,1450,0.038250047622071244
2020-05-01,1879,0.30194933011619784
2020-05-01,3537,0.022382373484030733
2020-05-01,6420,0.4455520985459394
2020-05-01,9739,0.19186615023176073
2020-05-07,1450,0.03853211009174312
2020-05-07,1879,0.2982584902623531
2020-05-07,3537,0.02255271205536778
2020-05-07,6420,0.4467922098825044
2020-05-07,9739,0.19386447770803156
2020-05-08,1450,0.038498777007745615
2020-05-08,1879,0.2966520587036282
2020-05-08,3537,0.02245337342030167
2020-05-08,6420,0.44555773542600896
2020-05-08,9739,0.19683805544231553
2020-05-11,1450,0.037990034370739
2020-05-11,1879,0.294947438531672
2020-05-11,3537,0.022664580545030694
2020-05-11,6420,0.4450727943347974
2020-05-11,9739,0.19932515221776093
2020-05-12,1450,0.03863358056963752
2020-05-12,1879,0.3001668686432881
2020-05-12,6420,0.4550184316885457
2020-05-12,9739,0.20618111909852863
2020-05-13,1450,0.03866048679308093
2020-05-13,1879,0.29696682585816164
2020-05-13,6420,0.4591052840479879
2020-05-13,9739,0.2052674033007695
2020-05-14,1450,0.038931531285196254
2020-05-14,1879,0.29401118467738263
2020-05-14,6420,0.4625756007369648
2020-05-14,9739,0.20448168330045638
2020-05-15,6501,1.0
2020-05-18,6501,1.0
2020-05-29,4356,1.0
2020-06-01,4356,1.0
2020-06-02,4356,1.0
2020-06-03,4356,1.0
2020-06-04,4356,1.0
2020-06-05,4356,1.0
2020-06-08,4356,1.0
2020-06-09,4356,1.0
2020-06-10,4356,1.0
2020-06-11,4356,1.0
2020-06-12,4356,1.0
2020-06-15,4356,1.0
2020-06-16,7270,1.0
2020-06-17,4356,1.0
2020-06-18,4356,1.0
2020-06-19,4356,1.0
2020-06-22,7270,1.0
2020-06-23,6501,0.6496469310157523
2020-06-23,7270,0.3503530689842477
2020-06-24,7270,1.0
2020-06-25,6501,0.6483897700772834
2020-06-25,7270,0.3516102299227167
2020-06-26,6501,0.6507672836576491
2020-06-26,7270,0.34923271634235087
2020-06-29,6501,0.6562186608986333
2020-06-29,7270,0.34378133910136666
2020-06-30,6501,0.6590649256874661
2020-06-30,7270,0.34093507431253384
2020-07-01,6501,0.6563639624559096
2020-07-01,7270,0.3436360375440904
2020-07-02,6501,0.48648202852044564
2020-07-02,7269,0.25713386015684747
2020-07-02,7270,0.2563841113227069
2020-07-03,6501,0.6475772698003863
2020-07-03,7270,0.3524227301996137
2020-07-06,6501,0.6533452986339615
2020-07-06,7270,0.3466547013660385
2020-07-07,6501,0.6568340157969299
2020-07-07,7270,0.3431659842030701
2020-07-08,6501,0.6582004331561331
2020-07-08,7270,0.3417995668438669
2020-07-09,6501,0.6575704754462944
2020-07-09,7270,0.3424295245537056
2020-07-10,6501,0.6608890413446599
2020-07-10,7270,0.3391109586553401
2020-07-13,6501,0.6637936341808779
2020-07-13,7270,0.3362063658191221
2020-07-14,6501,0.6560555146839521
2020-07-14,7270,0.34394448531604793
2020-07-15,6501,0.6585819403343197
2020-07-15,7270,0.34141805966568023
2020-07-16,7270,1.0
2020-07-17,6501,1.0
2020-07-20,4356,1.0
2020-07-21,7270,1.0
2020-07-22,7270,1.0
2020-07-27,6501,1.0
2020-07-28,6501,0.651727752913189
2020-07-28,7270,0.34827224708681104
2020-07-29,6501,0.6521685457986997
2020-07-29,7270,0.3478314542013003
2020-07-30,6501,0.48101305450333404
2020-07-30,7269,0.26218576839996244
2020-07-30,7270,0.2568011770967035
2020-07-31,6501,0.6517959861945545
2020-07-31,7270,0.34820401380544547
2020-08-03,6501,0.48309371459573314
2020-08-03,7269,0.27204838117729657
2020-08-03,7270,0.24485790422697026
2020-08-04,6501,0.6665544804375263
2020-08-04,7270,0.3334455195624737
2020-08-05,6501,1.0
2020-08-06,2186,0.05959484626201969
2020-08-06,4356,0.05953403519440538
2020-08-06,6345,0.48376724563870627
2020-08-06,9621,0.18146022576108853
2020-08-06,9739,0.21564364714378018
2020-08-07,2186,0.0600292491202413
2020-08-07,4356,0.061065155462120865
2020-08-07,6345,0.4835473698642658
2020-08-07,9621,0.18312691376079704
2020-08-07,9739,0.21223131179257498
2020-08-11,6501,1.0
2020-08-12,1879,0.20515307396085267
2020-08-12,6345,0.26662001399580126
2020-08-12,6420,0.314250754013562
2020-08-12,9621,0.0999513011593598
2020-08-12,9739,0.11402485687042425
2020-08-13,1879,0.20854592359035257
2020-08-13,6345,0.27231481102329963
2020-08-13,6420,0.3008885795012489
2020-08-13,9621,0.10476638958273617
2020-08-13,9739,0.11348429630236272
2020-08-14,1879,0.20315182392822956
2020-08-14,6345,0.26494228776215756
2020-08-14,6420,0.31422513706162036
2020-08-14,9621,0.10428549955301694
2020-08-14,9739,0.1133952516949756
2020-08-17,1879,0.20391880933072556
2020-08-17,6345,0.2586779882014343
2020-08-17,6420,0.3166611013054747
2020-08-17,9621,0.10541986674935204
2020-08-17,9739,0.11532223441301341
2020-08-18,1879,0.20411426178077943
2020-08-18,6345,0.26238084306926507
2020-08-18,6420,0.309697269911843
2020-08-18,9621,0.10691603539167241
2020-08-18,9739,0.11689158984644009
2020-08-19,1879,0.2029348662105817
2020-08-19,6345,0.2627737521758491
2020-08-19,6420,0.3099583046593531
2020-08-19,9621,0.10569161640286605
2020-08-19,9739,0.11864146055135004
2020-08-20,1879,0.20195701837737298
2020-08-20,6345,0.2631138426702788
2020-08-20,6420,0.3078179649434931
2020-08-20,9621,0.10740149202434143
2020-08-20,9739,0.11970968198451368
2020-08-21,1879,0.20357961053837342
2020-08-21,6345,0.2606815578465063
2020-08-21,6420,0.30963017509409263
2020-08-21,9621,0.10773604974635903
2020-08-21,9739,0.11837260677466863
2020-08-24,1879,0.20751346049756023
2020-08-24,6345,0.2622345036403371
2020-08-24,6420,0.3053243745904875
2020-08-24,9621,0.10735026595419972
2020-08-24,9739,0.11757739531741543
2020-08-25,1879,0.2076981598786
2020-08-25,6345,0.25859340355330984
2020-08-25,6420,0.3074707382861606
2020-08-25,9621,0.10858058820418309
2020-08-25,9739,0.11765711007774646
2020-08-26,1879,0.20548176225887796
2020-08-26,6345,0.26543502352997866
2020-08-26,6420,0.30479353046048085
2020-08-26,9621,0.1064269767591269
2020-08-26,9739,0.11786270699153563
2020-08-27,1879,0.20649578539149385
2020-08-27,6345,0.26133377135348224
2020-08-27,6420,0.30940915355277077
2020-08-27,9621,0.10624258837857761
2020-08-27,9739,0.11651870132367552
2020-08-28,1879,0.21053123109344357
2020-08-28,6345,0.2609947335723596
2020-08-28,6420,0.304185936973408
2020-08-28,9621,0.10607161854334753
2020-08-28,9739,0.11821647981744134
2020-08-31,1879,0.21247572995634484
2020-08-31,6345,0.26267710433130104
2020-08-31,6420,0.30381354010792183
2020-08-31,9621,0.10482597708825434
2020-08-31,9739,0.11620764851617797
2020-09-01,1879,0.20949618245968563
2020-09-01,6345,0.26576517849139936
2020-09-01,6420,0.3007219510605184
2020-09-01,9621,0.10643074240362442
2020-09-01,9739,0.11758594558477221
2020-09-02,1879,0.20792830229125958
2020-09-02,6345,0.2666155482450716
2020-09-02,6420,0.2997312160412905
2020-09-02,9621,0.1069323175608268
2020-09-02,9739,0.11879261586155153
2020-09-03,1879,0.20857248319697566
2020-09-03,6345,0.2671691010939712
2020-09-03,6420,0.29984221179314735
2020-09-03,9621,0.10716618059245618
2020-09-03,9739,0.1172500233234496
2020-09-04,1879,0.20931794589973743
2020-09-04,6345,0.26586065824021493
2020-09-04,6420,0.29821904703751195
2020-09-04,9621,0.11124137509922452
2020-09-04,9739,0.11536097372331115
2020-09-07,1879,0.2091791270509561
2020-09-07,6345,0.2640388813041097
2020-09-07,6420,0.30080689333802046
2020-09-07,9621,0.11025498483498336
2020-09-07,9739,0.11572011347193041
2020-09-08,1879,0.20867842778129653
2020-09-08,6345,0.26443547053199346
2020-09-08,6420,0.3004409409429601
2020-09-08,9621,0.10887166722473465
2020-09-08,9739,0.11757349351901533
2020-09-09,1879,0.21028266156985465
2020-09-09,6345,0.2623304598488973
2020-09-09,6420,0.3050763150989139
2020-09-09,9621,0.1086897772625263
2020-09-09,9739,0.11362078621980785
2020-09-10,1879,0.2095444582102354
2020-09-10,6345,0.2602846342005782
2020-09-10,6420,0.3093054099558436
2020-09-10,9621,0.10744464563677372
2020-09-10,9739,0.11342085199656914
2020-09-11,1879,0.21056293460273035
2020-09-11,2751,0.11141160146069756
2020-09-11,6345,0.2623437985212206
2020-09-11,6420,0.30358216816890005
2020-09-11,9739,0.11209949724645143
2020-09-14,1879,0.21210180136547566
2020-09-14,2751,0.11031215335822644
2020-09-14,6345,0.26191666536472574
2020-09-14,6420,0.30294342806255564
2020-09-14,9739,0.11272595184901651
2020-09-15,1879,0.21108695652173914
2020-09-15,6345,0.26090389016018306
2020-09-15,6420,0.3080167810831426
2020-09-15,9621,0.10821510297482838
2020-09-15,9739,0.11177726926010678
2020-09-16,1879,0.2057515735981983
2020-09-16,6345,0.2645839348616966
2020-09-16,6420,0.3066658967103617
2020-09-16,9621,0.10896421628072607
2020-09-16,9739,0.11403437854901734
2020-09-17,1879,0.20306123606766943
2020-09-17,6345,0.2632383142400048
2020-09-17,6420,0.3100380858008419
2020-09-17,9621,0.10881495293169896
2020-09-17,9739,0.11484741095978487
2020-09-18,1879,0.20046134803645774
2020-09-18,6345,0.26284460447845165
2020-09-18,6420,0.31492067064251156
2020-09-18,9621,0.10754285285623195
2020-09-18,9739,0.1142305239863471
2020-09-23,1879,0.19722617670611264
2020-09-23,6345,0.2621563306343981
2020-09-23,6420,0.3178181629445087
2020-09-23,9621,0.10829106978675446
2020-09-23,9739,0.11450825992822612
