date,nav
2020-03-19,0.9321914437328453
2020-03-23,0.9101425361390667
2020-03-24,0.9692427008234218
2020-03-25,1.0419813650503202
2020-03-26,1.0265243989021042
2020-03-27,1.076077613906679
2020-03-30,1.045618298261665
2020-03-31,1.0399355901189387
2020-04-01,1.0089794826820997
2020-04-02,0.9763599026966365
2020-04-03,0.919330166948523
2020-04-06,0.9615074969706101
2020-04-07,1.0088409722560965
2020-04-08,1.0294472237068533
2020-04-09,1.0873789674916272
2020-04-10,1.1170412470314557
2020-04-13,1.0950698823710168
2020-04-14,1.1378172107692337
2020-04-15,1.1147187216147116
2020-04-16,1.0800423070133043
2020-04-17,1.1398151414389592
2020-04-20,1.1439658852384076
2020-04-21,1.115058146188754
2020-04-22,1.07840408808931
2020-04-23,1.113556480121916
2020-04-24,1.105437577068217
2020-04-27,1.1292777344547376
2020-04-28,1.1430490473747232
2020-04-30,1.2184545725329332
2020-05-01,1.1531916256145007
2020-05-07,1.1274495160720335
2020-05-08,1.179837700762476
2020-05-11,1.2552912151775755
2020-05-12,1.231390196275989
2020-05-13,1.2237398557399768
2020-05-14,1.1883089006483942
2020-05-15,1.2107562427400316
2020-05-18,1.2250238202629045
2020-05-29,1.324740022894169
2020-06-01,1.3349988668194137
2020-06-02,1.3488587433396662
2020-06-03,1.4216023185070894
2020-06-04,1.4031562950995675
2020-06-05,1.4421605807009565
2020-06-08,1.4760898697257008
2020-06-09,1.4704909064609684
2020-06-10,1.456699306369294
2020-06-11,1.3809395268100173
2020-06-12,1.3590087364929557
2020-06-15,1.2791867767344973
2020-06-16,1.378120736790386
2020-06-17,1.3404889793121912
2020-06-18,1.3159016963490076
2020-06-19,1.3046503232179882
2020-06-22,1.2927883773674615
2020-06-23,1.321376979014761
2020-06-24,1.3355080036804776
2020-06-25,1.2987930840659674
2020-06-26,1.3022778509755075
2020-06-29,1.2486942653624036
2020-06-30,1.2703262054488
2020-07-01,1.2231380644615917
2020-07-02,1.2274319021482523
2020-07-03,1.2385361944605782
2020-07-06,1.2722353909083846
2020-07-07,1.254691853103809
2020-07-08,1.2325056820291034
2020-07-09,1.2242758684656994
2020-07-10,1.2030658214160812
2020-07-13,1.2424182770109813
2020-07-14,1.235709564887031
2020-07-15,1.2583044690225116
2020-07-16,1.2644996835084894
2020-07-17,1.2790234319841036
2020-07-20,1.2673457045565
2020-07-21,1.2600950370936659
2020-07-22,1.2442118671576183
2020-07-27,1.2251217922881603
2020-07-28,1.2004638313743423
2020-07-29,1.164210494060172
2020-07-30,1.1591052344029271
2020-07-31,1.1272190195762215
2020-08-03,1.1744149692236971
2020-08-04,1.1868278117455988
2020-08-05,1.1993678323946446
2020-08-06,1.1933373199631698
2020-08-07,1.1775619366798025
2020-08-11,1.2564255057731406
2020-08-12,1.2747011365965317
2020-08-13,1.278259859188894
2020-08-14,1.2701662899790818
2020-08-17,1.2829563857853645
2020-08-18,1.25867870023141
2020-08-19,1.255772741706094
2020-08-20,1.2628871648153364
2020-08-21,1.2640279908949268
2020-08-24,1.2494727626429185
2020-08-25,1.2813274976932303
2020-08-26,1.2681571265270843
2020-08-27,1.255037626611796
2020-08-28,1.2602536949972039
2020-08-31,1.2623452094764527
2020-09-01,1.2495581357456524
